id,tweet_id,time,count,accu_count,exposed_user_count
212555675,536729769631842300,2014-11-26 16:25:23-05,13,64178,7937
212555676,536729769631842300,2014-11-26 16:55:23-05,17,64195,26227
212555677,536729769631842300,2014-11-26 17:25:23-05,19,64214,23384
212555678,536729769631842300,2014-11-26 17:55:23-05,13,64227,15561
212555679,536729769631842300,2014-11-26 18:25:23-05,9,64236,8893
212555680,536729769631842300,2014-11-26 18:55:23-05,12,64248,21045
212555681,536729769631842300,2014-11-26 19:25:23-05,14,64262,11610
212555682,536729769631842300,2014-11-26 19:55:23-05,8,64270,10588
212555683,536729769631842300,2014-11-26 20:25:23-05,3,64273,1841
212555684,536729769631842300,2014-11-26 20:55:23-05,9,64282,10466
212555685,536729769631842300,2014-11-26 21:25:23-05,5,64287,5304
212555686,536729769631842300,2014-11-26 21:55:23-05,8,64295,13098
212555687,536729769631842300,2014-11-26 22:25:23-05,13,64308,21301
212555688,536729769631842300,2014-11-26 22:55:23-05,3,64311,559
212555689,536729769631842300,2014-11-26 23:25:23-05,5,64316,9634
212555690,536729769631842300,2014-11-26 23:55:23-05,9,64325,20416
212555691,536729769631842300,2014-11-27 00:25:23-05,5,64330,10353
212555692,536729769631842300,2014-11-27 00:55:23-05,7,64337,7506
212555693,536729769631842300,2014-11-27 01:25:23-05,3,64340,1147
212555694,536729769631842300,2014-11-27 01:55:23-05,1,64341,60
212555695,536729769631842300,2014-11-27 02:25:23-05,4,64345,1280
212555696,536729769631842300,2014-11-27 02:55:23-05,0,64345,0
212555697,536729769631842300,2014-11-27 03:25:23-05,4,64349,5634
212555698,536729769631842300,2014-11-27 03:55:23-05,2,64351,296
212555699,536729769631842300,2014-11-27 04:25:23-05,2,64353,567
212555700,536729769631842300,2014-11-27 04:55:23-05,10,64363,10822
212555701,536729769631842300,2014-11-27 05:25:23-05,7,64370,11233
212555702,536729769631842300,2014-11-27 05:55:23-05,9,64379,8483
212555703,536729769631842300,2014-11-27 06:25:23-05,15,64394,14967
212555704,536729769631842300,2014-11-27 06:55:23-05,5,64399,10755
212555705,536729769631842300,2014-11-27 07:25:23-05,11,64410,14325
212555706,536729769631842300,2014-11-27 07:55:23-05,9,64419,8479
212555707,536729769631842300,2014-11-27 08:25:23-05,6,64425,5862
212555708,536729769631842300,2014-11-27 08:55:23-05,9,64434,10272
212555709,536729769631842300,2014-11-27 09:25:23-05,9,64443,5606
212555710,536729769631842300,2014-11-27 09:55:23-05,5,64448,3696
212555711,536729769631842300,2014-11-27 10:25:23-05,5,64453,5360
212555712,536729769631842300,2014-11-27 10:55:23-05,8,64461,4596
212555713,536729769631842300,2014-11-27 11:25:23-05,7,64468,5854
212555714,536729769631842300,2014-11-27 11:55:23-05,11,64479,7362
212555715,536729769631842300,2014-11-27 12:25:23-05,4,64483,3652
212555716,536729769631842300,2014-11-27 12:55:23-05,9,64492,5921
212555717,536729769631842300,2014-11-27 13:25:23-05,13,64505,9944
212555718,536729769631842300,2014-11-27 13:55:23-05,10,64515,20899
212555719,536729769631842300,2014-11-27 14:25:23-05,11,64526,9156
212555720,536729769631842300,2014-11-27 14:55:23-05,8,64534,6784
212555721,536729769631842300,2014-11-27 15:25:23-05,8,64542,8533
212555722,536729769631842300,2014-11-27 15:55:23-05,7,64549,14629
212555723,536729769631842300,2014-11-27 16:25:23-05,12,64561,15484
212555724,536729769631842300,2014-11-27 16:55:23-05,3,64564,69
212555725,536729769631842300,2014-11-27 17:25:23-05,9,64573,13435
212555726,536729769631842300,2014-11-27 17:55:23-05,6,64579,4387
212555727,536729769631842300,2014-11-27 18:25:23-05,4,64583,2179
212555728,536729769631842300,2014-11-27 18:55:23-05,7,64590,9576
212555729,536729769631842300,2014-11-27 19:25:23-05,8,64598,6847
212555730,536729769631842300,2014-11-27 19:55:23-05,2,64600,3206
212555731,536729769631842300,2014-11-27 20:25:23-05,8,64608,15564
212555732,536729769631842300,2014-11-27 20:55:23-05,7,64615,10164
212555733,536729769631842300,2014-11-27 21:25:23-05,8,64623,8339
212555734,536729769631842300,2014-11-27 21:55:23-05,1,64624,404
212555735,536729769631842300,2014-11-27 22:25:23-05,6,64630,2628
212555736,536729769631842300,2014-11-27 22:55:23-05,2,64632,475
212555737,536729769631842300,2014-11-27 23:25:23-05,5,64637,2042
212555738,536729769631842300,2014-11-27 23:55:23-05,3,64640,1060
212555739,536729769631842300,2014-11-28 00:25:23-05,1,64641,218
212555740,536729769631842300,2014-11-28 00:55:23-05,3,64644,973
212555741,536729769631842300,2014-11-28 01:25:23-05,3,64647,1944
212555742,536729769631842300,2014-11-28 01:55:23-05,2,64649,1662
212555743,536729769631842300,2014-11-28 02:25:23-05,3,64652,3106
212555744,536729769631842300,2014-11-28 02:55:23-05,3,64655,1016
212555745,536729769631842300,2014-11-28 03:25:23-05,1,64656,1606
212555746,536729769631842300,2014-11-28 03:55:23-05,7,64663,6894
212555747,536729769631842300,2014-11-28 04:25:23-05,1,64664,498
212555748,536729769631842300,2014-11-28 04:55:23-05,3,64667,1530
212555749,536729769631842300,2014-11-28 05:25:23-05,6,64673,6166
212555750,536729769631842300,2014-11-28 05:55:23-05,3,64676,6445
